roundNo,matchNo,quarterNo,teamName,centrePassRec,centrePassX,centrePassY,secondPhaseRec,secondPhaseX,secondPhaseY
1,1,1,Thunderbirds,WA,25,131,GA,11.0,193.0
1,1,1,Thunderbirds,WD,79,77,GD,18.0,90.0
1,1,1,Thunderbirds,GD,31,118,GA,28.0,171.0
1,1,1,Thunderbirds,GA,93,130,,,
1,1,1,Thunderbirds,WA,26,125,GS,48.0,190.0
1,1,1,Thunderbirds,GD,24,111,WA,19.0,140.0
1,1,1,Thunderbirds,GA,23,130,WA,17.0,182.0
1,1,1,Thunderbirds,GA,69,131,,,
1,1,1,Thunderbirds,GA,40,121,GD,42.0,95.0
1,1,1,Thunderbirds,GD,90,109,WA,71.0,147.0
1,1,1,Thunderbirds,GA,48,131,C,53.0,139.0
1,1,1,Thunderbirds,GA,86,130,WA,32.0,162.0
1,1,1,Thunderbirds,UNKNOWN,52,125,WA,71.0,168.0
1,1,1,Thunderbirds,WA,94,128,GA,57.0,150.0
1,1,1,Thunderbirds,GA,31,116,GD,88.0,113.0
1,1,1,Thunderbirds,GD,31,102,C,51.0,121.0
1,1,1,Thunderbirds,GA,24,110,,,
1,1,2,Thunderbirds,WD,19,115,WA,12.0,162.0
1,1,2,Thunderbirds,WA,10,109,C,10.0,153.0
1,1,2,Thunderbirds,WD,80,87,C,70.0,80.0
1,1,2,Thunderbirds,GD,65,85,WD,24.0,97.0
1,1,2,Thunderbirds,WA,84,126,GD,63.0,125.0
1,1,2,Thunderbirds,GA,20,103,GA,66.0,188.0
1,1,2,Thunderbirds,WA,83,105,GS,46.0,192.0
1,1,2,Thunderbirds,WA,60,125,GA,6.0,139.0
1,1,2,Thunderbirds,GA,73,125,C,68.0,141.0
1,1,2,Thunderbirds,GA,32,112,WA,10.0,170.0
1,1,2,Thunderbirds,GD,66,96,WA,90.0,180.0
1,1,2,Thunderbirds,WA,76,110,,,
1,1,3,Thunderbirds,WD,21,113,C,38.0,140.0
1,1,3,Thunderbirds,GD,30,86,GA,14.0,111.0
1,1,3,Thunderbirds,WD,76,103,WA,83.0,180.0
1,1,3,Thunderbirds,GA,13,131,WA,14.0,164.0
1,1,3,Thunderbirds,GA,21,121,WA,22.0,168.0
1,1,3,Thunderbirds,WA,72,131,,,
1,1,3,Thunderbirds,WA,84,130,GA,92.0,161.0
1,1,3,Thunderbirds,GA,91,126,,,
1,1,3,Thunderbirds,GA,91,128,C,65.0,143.0
1,1,3,Thunderbirds,GA,21,111,C,91.0,155.0
1,1,3,Thunderbirds,WA,24,120,C,91.0,142.0
1,1,3,Thunderbirds,GA,91,126,C,68.0,132.0
1,1,3,Thunderbirds,WA,42,129,GA,17.0,179.0
1,1,3,Thunderbirds,WD,23,123,WA,20.0,149.0
1,1,3,Thunderbirds,GD,25,109,C,19.0,143.0
1,1,3,Thunderbirds,GD,39,79,C,36.0,101.0
1,1,3,Thunderbirds,WA,35,119,,,
1,1,4,Thunderbirds,GD,34,110,WA,41.0,161.0
1,1,4,Thunderbirds,GD,73,96,WD,42.0,85.0
1,1,4,Thunderbirds,GA,87,118,WA,85.0,170.0
1,1,4,Thunderbirds,WD,76,89,WA,85.0,122.0
1,1,4,Thunderbirds,GA,50,112,WA,36.0,126.0
1,1,4,Thunderbirds,GD,51,87,C,67.0,105.0
1,1,4,Thunderbirds,WA,26,115,GS,55.0,184.0
1,1,4,Thunderbirds,WA,76,117,GS,53.0,194.0
1,1,4,Thunderbirds,WA,23,110,WA,5.0,138.0
1,1,4,Thunderbirds,GD,14,105,,,
1,1,1,Fever,WA,25,118,C,36.0,129.0
1,1,1,Fever,WA,49,115,C,51.0,127.0
1,1,1,Fever,WA,40,122,WD,86.0,123.0
1,1,1,Fever,WA,51,121,C,32.0,119.0
1,1,1,Fever,WA,49,119,GS,59.0,193.0
1,1,1,Fever,WD,81,110,GA,82.0,149.0
1,1,1,Fever,WA,7,125,GS,53.0,173.0
1,1,1,Fever,WA,39,127,GA,47.0,159.0
1,1,1,Fever,WA,15,126,GA,31.0,129.0
1,1,1,Fever,WD,78,107,,,
1,1,1,Fever,GA,7,126,WA,48.0,151.0
1,1,1,Fever,WA,28,128,C,46.0,125.0
1,1,1,Fever,GA,17,124,GS,77.0,169.0
1,1,1,Fever,WA,19,124,,,
1,1,2,Fever,WA,86,128,GA,73.0,165.0
1,1,2,Fever,WA,48,116,,,
1,1,2,Fever,GA,19,133,WA,17.0,187.0
1,1,2,Fever,WA,88,118,,,
1,1,2,Fever,WA,23,129,WD,23.0,115.0
1,1,2,Fever,GA,25,118,WD,26.0,94.0
1,1,2,Fever,WA,26,128,GA,49.0,140.0
1,1,2,Fever,GD,74,107,GA,75.0,139.0
1,1,2,Fever,GA,91,117,C,69.0,113.0
1,1,2,Fever,WA,32,111,,,
1,1,2,Fever,WA,84,105,GD,52.0,78.0
1,1,2,Fever,WD,31,119,GA,24.0,152.0
1,1,2,Fever,WA,19,127,GA,18.0,149.0
1,1,2,Fever,WA,22,120,GA,39.0,141.0
1,1,2,Fever,WA,85,125,,,
1,1,3,Fever,WD,27,99,WA,7.0,112.0
1,1,3,Fever,WA,8,102,C,26.0,124.0
1,1,3,Fever,GA,86,124,WA,85.0,179.0
1,1,3,Fever,GA,13,121,C,53.0,125.0
1,1,3,Fever,WA,39,116,GA,5.0,136.0
1,1,3,Fever,GD,10,114,WD,50.0,86.0
1,1,3,Fever,WD,81,107,WA,84.0,146.0
1,1,3,Fever,GA,44,120,WA,16.0,182.0
1,1,3,Fever,WA,8,124,GA,7.0,166.0
1,1,3,Fever,GD,22,107,GA,10.0,142.0
1,1,3,Fever,GD,11,95,GA,11.0,112.0
1,1,3,Fever,WA,85,124,GA,64.0,137.0
1,1,3,Fever,GA,83,120,WA,79.0,166.0
1,1,3,Fever,GA,8,121,WA,11.0,178.0
1,1,3,Fever,WA,23,115,GS,42.0,190.0
1,1,3,Fever,WD,20,98,GD,44.0,77.0
1,1,3,Fever,WA,13,119,,,
1,1,4,Fever,WA,82,94,GD,51.0,73.0
1,1,4,Fever,GA,26,110,WD,53.0,120.0
1,1,4,Fever,WA,90,129,GA,89.0,167.0
1,1,4,Fever,GD,32,106,WD,70.0,112.0
1,1,4,Fever,GA,81,127,WA,94.0,169.0
1,1,4,Fever,WD,72,86,WA,92.0,117.0
1,1,4,Fever,WA,22,123,GD,39.0,132.0
1,1,4,Fever,WD,74,100,GA,92.0,145.0
1,1,4,Fever,WA,79,115,C,91.0,164.0
1,1,4,Fever,WA,93,120,C,74.0,130.0
1,1,4,Fever,WA,92,120,GD,56.0,126.0
1,1,4,Fever,GA,91,109,WA,65.0,141.0
1,1,4,Fever,GA,97,122,,,
1,2,1,Giants,WA,13,121,GS,6.0,173.0
1,2,1,Giants,GA,29,125,WA,11.0,128.0
1,2,1,Giants,WA,76,105,GS,48.0,155.0
1,2,1,Giants,WA,75,100,WD,59.0,116.0
1,2,1,Giants,GA,4,125,WD,50.0,117.0
1,2,1,Giants,WA,47,124,GD,8.0,123.0
1,2,1,Giants,GA,61,123,WA,12.0,186.0
1,2,1,Giants,WA,25,123,GS,52.0,158.0
1,2,1,Giants,GD,81,114,GA,86.0,149.0
1,2,1,Giants,GD,17,103,GA,6.0,148.0
1,2,1,Giants,UNKNOWN,48,126,UNKNOWN,52.0,162.0
1,2,1,Giants,WD,55,77,C,26.0,94.0
1,2,1,Giants,WA,16,123,,,
1,2,2,Giants,WA,22,130,GA,20.0,172.0
1,2,2,Giants,GD,87,99,GA,90.0,139.0
1,2,2,Giants,WA,96,128,C,87.0,139.0
1,2,2,Giants,WA,41,132,C,53.0,140.0
1,2,2,Giants,WA,38,128,GA,16.0,167.0
1,2,2,Giants,GD,57,85,WA,23.0,141.0
1,2,2,Giants,GA,30,120,C,34.0,139.0
1,2,2,Giants,GA,77,125,WA,15.0,165.0
1,2,2,Giants,GA,73,121,,,
1,2,2,Giants,GD,41,87,WA,87.0,130.0
1,2,2,Giants,WA,78,116,,,
1,2,3,Giants,GA,73,117,C,44.0,119.0
1,2,3,Giants,WA,65,120,GA,82.0,146.0
1,2,3,Giants,GA,15,128,C,27.0,146.0
1,2,3,Giants,WA,40,122,GS,54.0,160.0
1,2,3,Giants,GA,54,115,,,
1,2,3,Giants,WA,68,118,GA,85.0,145.0
1,2,3,Giants,WA,10,128,C,26.0,119.0
