round,teamA,teamB,scoreA,scoreB,gameDay,colinSightings,format
1,Vixens,Fever,51,65,Saturday,6,replay
1,Magpies,Lightning,56,67,Saturday,7,replay
1,Firebirds,Swifts,66,69,Sunday,6,replay
1,Thunderbirds,Giants,52,66,Sunday,7,replay
2,Giants,Magpies,66,54,Saturday,6,replay
2,Fever,Swifts,63,55,Saturday,6,replay
2,Vixens,Lightning,51,56,Sunday,6,replay
2,Firebirds,Thunderbirds,68,57,Sunday,6,replay
3,Magpies,Thunderbirds,60,56,Saturday,6,replay
3,Lightning,Fever,54,69,Saturday,6,replay
3,Swifts,Vixens,55,43,Sunday,6,replay
3,Giants,Firebirds,67,60,Sunday,6,replay
4,Magpies,Firebirds,68,65,Saturday,8,replay
4,Thunderbirds,Fever,62,70,Saturday,7,replay
4,Lightning,Swifts,58,54,Sunday,8,replay
4,Vixens,Giants,54,68,Sunday,7,replay
5,Firebirds,Vixens,64,66,Saturday,5,replay
5,Thunderbirds,Lightning,58,59,Saturday,6,live
5,Swifts,Magpies,62,53,Sunday,5,live
5,Fever,Giants,66,65,Monday,6,live
6,Magpies,Fever,55,78,Saturday,7,live
6,Giants,Swifts,51,63,Sunday,6,live
6,Lightning,Firebirds,52,61,Sunday,7,live
6,Vixens,Thunderbirds,48,54,Sunday,6,live
7,Giants,Lightning,52,58,Saturday,6,replay
7,Magpies,Vixens,67,51,Saturday,7,replay
7,Thunderbirds,Swifts,58,53,Saturday,6,live
7,Firebirds,Fever,69,79,Sunday,7,replay
8,Swifts,Firebirds,64,52,Saturday,6,live
8,Giants,Thunderbirds,57,41,Sunday,7,live
8,Lightning,Magpies,67,65,Saturday,5,live
8,Fever,Vixens,64,50,Thursday,6,live
9,Lightning,Vixens,52,55,Saturday,8,live
9,Swifts,Fever,66,65,Sunday,6,live
9,Thunderbirds,Magpies,62,54,Sunday,6,live
9,Firebirds,Giants,63,52,Sunday,7,live
10,Vixens,Swifts,48,62,Saturday,5,live
10,Fever,Lightning,61,65,Saturday,5,live
10,Thunderbirds,Firebirds,47,63,Sunday,5,live
10,Magpies,Giants,49,58,Sunday,5,live
11,Vixens,Magpies,48,52,Saturday,6,live
11,Swifts,Giants,55,59,Saturday,5,live
11,Fever,Thunderbirds,69,44,Saturday,6,live
11,Firebirds,Lightning,59,49,Monday,5,live
12,Magpies,Swifts,75,68,Tuesday,5,live
12,Fever,Firebirds,79,69,Tuesday,5,live
12,Giants,Vixens,54,45,Wednesday,5,live
12,Lightning,Thunderbirds,60,61,Wednesday,5,live
13,Firebirds,Magpies,59,66,Thursday,5,live
13,Thunderbirds,Vixens,59,50,Monday,5,live
13,Lightning,Giants,64,63,Tuesday,3,live
13,Fever,Magpies,75,55,Tuesday,5,live
14,Swifts,Thunderbirds,58,53,Wednesday,3,live
14,Vixens,Firebirds,58,62,Wednesday,5,live
14,Swifts,Lightning,69,64,Saturday,6,live
14,Fever,Giants,73,75,Saturday,6,live
