playerName,squadName,year,round,startingPositionCode,minutesPlayed,squadId,playerId,centrePassReceives,feeds,feedWithAttempt,deflections,deflectionWithGain,deflectionWithNoGain,gain,goalAssists,goalAttempts,goalMisses,goals,turnovers,generalPlayTurnovers,intercepts,obstructionPenalties,offsides,contactPenalties,penalties,netPoints,rebounds
S.Wallace,Swifts,2017,1,GS,61,806,1001944,0,6,n/a,0,n/a,n/a,0,3,37,3,34,9,n/a,0,0,0,3,3,n/a,2
H.Housby,Swifts,2017,1,GA,61,806,999128,20,13,n/a,1,n/a,n/a,1,7,22,3,19,6,n/a,1,0,0,0,0,n/a,0
P.Hadley,Swifts,2017,1,WA,61,806,80574,30,34,n/a,1,n/a,n/a,2,17,0,0,0,2,n/a,2,1,0,3,4,n/a,0
M.Proud,Swifts,2017,1,C,61,806,80439,0,33,n/a,2,n/a,n/a,2,17,0,0,0,2,n/a,2,1,0,10,11,n/a,0
A.McCulloch,Swifts,2017,1,WD,61,806,991904,2,0,n/a,2,n/a,n/a,2,0,0,0,0,0,n/a,1,1,2,5,6,n/a,0
M.Turner,Swifts,2017,1,GD,61,806,1003784,0,0,n/a,0,n/a,n/a,3,0,0,0,0,0,n/a,3,7,0,19,26,n/a,0
S.Klau,Swifts,2017,1,GK,61,806,998404,0,0,n/a,4,n/a,n/a,2,0,0,0,0,0,n/a,2,8,0,15,23,n/a,0
C.O'Brien,Swifts,2017,1,-,0,806,1001702,0,0,n/a,0,n/a,n/a,0,0,0,0,0,0,n/a,0,0,0,0,0,n/a,0
A.Sommerville,Swifts,2017,1,-,0,806,1001557,0,0,n/a,0,n/a,n/a,0,0,0,0,0,0,n/a,0,0,0,0,0,n/a,0
L.Moore,Swifts,2017,1,-,0,806,1001803,0,0,n/a,0,n/a,n/a,0,0,0,0,0,0,n/a,0,0,0,0,0,n/a,0
J.Harten,GIANTS,2017,1,GS,61,8118,80150,11,15,n/a,1,n/a,n/a,1,6,28,1,27,2,n/a,0,0,0,0,0,n/a,4
S.Pettitt,GIANTS,2017,1,GA,37,8118,80072,10,6,n/a,0,n/a,n/a,0,1,12,1,11,2,n/a,0,0,0,1,1,n/a,0
