variable,Q1,Q2,Q3,Q4
Goals,15,22,20,17
Interceptions,8,9,14,7
Deflections,4,7,8,4
Match Play Errors,2,,2,4
Contact Penalties,9,3,10,7
Obstruction Penalties,6,3,3,4
Time in Possession,8:16,10:36,8:47,8:13
Goals,6,3,4,9
Interceptions,8,5,6,3
Deflections,3,2,4,2
Match Play Errors,5,6,8,5
Contact Penalties,7,9,6,9
Obstruction Penalties,8,3,5,1
Time in Possession,6:40,4:22,5:48,6:40
Goals,25,27,21,22
Interceptions,15,7,12,11
Deflections,3,2,6,6
Match Play Errors,2,2,3,2
Contact Penalties,5,9,8,5
Obstruction Penalties,5,4,2,1
Time in Possession,9:26,10:33,8:55,8:53
Goals,4,5,5,4
Interceptions,4,4,8,4
Deflections,3,1,2,2
Match Play Errors,5,6,7,5
Contact Penalties,7,12,14,8
Obstruction Penalties,3,7,,1
Time in Possession,5:32,4:24,6:03,6:07
Goals,18,15,24,22
Interceptions,2,6,7,9
Deflections,3,2,4,2
Match Play Errors,,1,1,2
Contact Penalties,9,14,8,8
Obstruction Penalties,7,3,3,3
Time in Possession,7:45,8:31,9:29,11:10
Goals,4,7,5,4
Interceptions,4,3,2,1
Deflections,1,1,1,2
Match Play Errors,2,4,2,5
Contact Penalties,16,14,8,13
Obstruction Penalties,6,6,10,4
Time in Possession,7:01,6:18,5:24,3:45
Goals,16,22,17,17
Interceptions,5,9,4,6
Deflections,6,6,4,4
Match Play Errors,5,3,3,5
Contact Penalties,8,8,11,9
Obstruction Penalties,8,4,6,3
Time in Possession,7:14,8:37,8:31,8:03
Goals,12,10,9,12
Interceptions,9,6,5,4
Deflections,1,4,2,2
Match Play Errors,4,5,4,2
Contact Penalties,13,9,14,10
Obstruction Penalties,7,7,2,5
Time in Possession,7:44,6:21,6:27,6:50
Goals,17,18,23,25
Interceptions,3,10,9,12
Deflections,1,9,7,7
Match Play Errors,3,3,2,2
Contact Penalties,7,9,4,3
Obstruction Penalties,3,,4,1
Time in Possession,8:03,8:14,8:57,9:45
Goals,10,6,9,5
Interceptions,4,8,6,3
Deflections,,1,4,4
Match Play Errors,2,3,4,5
Contact Penalties,14,8,7,8
Obstruction Penalties,5,,,2
Time in Possession,6:53,6:40,5:59,5:03
Goals,19,16,13,18
Interceptions,10,7,6,11
Deflections,3,5,4,6
Match Play Errors,1,3,3,2
Contact Penalties,8,13,10,14
Obstruction Penalties,3,3,2,2
Time in Possession,8:54,7:32,7:10,9:04
Goals,9,11,13,8
Interceptions,5,7,8,6
Deflections,3,2,3,4
Match Play Errors,5,3,5,2
Contact Penalties,17,9,12,10
Obstruction Penalties,3,5,8,5
Time in Possession,6:02,7:25,7:43,5:51
Goals,18,19,17,14
Interceptions,12,5,6,6
Deflections,8,2,4,
Match Play Errors,2,3,3,7
Contact Penalties,8,7,6,10
Obstruction Penalties,5,2,1,5
Time in Possession,8:36,8:51,8:11,6:37
Goals,7,12,12,18
Interceptions,8,2,4,4
Deflections,3,1,1,2
Match Play Errors,4,2,3,
Contact Penalties,15,13,14,3
Obstruction Penalties,4,6,3,4
Time in Possession,6:21,6:08,6:45,8:16
Goals,14,17,8,14
Interceptions,5,5,4,5
Deflections,1,2,1,3
Match Play Errors,1,,4,2
Contact Penalties,14,4,6,6
Obstruction Penalties,6,3,2,4
Time in Possession,6:40,8:47,6:53,6:59
Goals,11,7,11,11
Interceptions,4,3,4,7
Deflections,4,2,2,4
Match Play Errors,3,5,3,1
Contact Penalties,7,14,8,13
Obstruction Penalties,4,5,4,5
Time in Possession,8:16,6:08,8:02,7:57
Goals,12,13,17,12
Interceptions,2,4,9,9
Deflections,3,2,3,2
Match Play Errors,1,1,,3
Contact Penalties,14,6,10,8
Obstruction Penalties,7,4,5,5
Time in Possession,7:06,7:19,8:34,6:59
Goals,11,10,7,13
Interceptions,4,3,6,3
Deflections,,,3,2
Match Play Errors,2,2,3,1
Contact Penalties,10,13,13,5
Obstruction Penalties,4,6,1,13
Time in Possession,7:51,7:38,6:23,7:52
Goals,23,20,23,25
Interceptions,8,8,10,8
Deflections,6,7,4,3
Match Play Errors,,,1,1
Contact Penalties,8,11,11,14
Obstruction Penalties,5,5,4,2
Time in Possession,9:34,7:27,8:28,7:41
Goals,9,9,9,9
Interceptions,5,7,7,2
Deflections,1,2,1,1
Match Play Errors,3,4,2,2
Contact Penalties,9,5,7,13
Obstruction Penalties,8,6,7,5
Time in Possession,5:22,7:28,6:30,7:16
Goals,7,8,13,14
Interceptions,5,7,4,9
Deflections,3,2,3,7
Match Play Errors,4,3,,3
Contact Penalties,19,15,18,8
Obstruction Penalties,5,2,2,2
Time in Possession,6:36,6:45,6:22,8:52
Goals,12,14,15,7
Interceptions,7,4,7,9
Deflections,5,3,3,1
Match Play Errors,4,4,2,6
Contact Penalties,17,15,9,19
Obstruction Penalties,2,,1,
Time in Possession,8:21,8:11,8:34,6:05
Goals,19,21,16,18
Interceptions,3,7,6,5
Deflections,2,1,5,5
Match Play Errors,2,2,1,3
Contact Penalties,13,8,4,10
Obstruction Penalties,6,2,5,10
Time in Possession,8:05,8:55,8:16,7:33
Goals,11,13,13,12
Interceptions,3,2,4,6
Deflections,2,3,4,1
Match Play Errors,3,4,4,1
Contact Penalties,8,7,8,11
Obstruction Penalties,8,11,6,5
Time in Possession,6:54,6:02,6:43,7:26
Goals,23,28,22,30
Interceptions,10,10,12,9
Deflections,7,2,2,6
Match Play Errors,3,2,4,
Contact Penalties,5,5,11,4
Obstruction Penalties,8,3,2,4
Time in Possession,9:00,10:39,8:20,9:25
Goals,5,4,8,7
Interceptions,8,4,3,4
Deflections,3,,1,1
Match Play Errors,7,7,3,5
Contact Penalties,14,9,3,6
Obstruction Penalties,4,4,2,1
Time in Possession,5:52,4:15,6:37,5:28
Goals,18,20,15,18
Interceptions,5,7,3,9
Deflections,5,4,5,5
Match Play Errors,1,2,,1
Contact Penalties,8,7,6,5
Obstruction Penalties,5,2,1,3
Time in Possession,8:32,10:23,6:59,9:00
Goals,9,6,7,5
Interceptions,7,3,6,4
Deflections,2,1,2,2
Match Play Errors,4,4,2,4
Contact Penalties,14,15,12,9
Obstruction Penalties,2,3,3,4
Time in Possession,6:25,4:33,7:55,5:59
Goals,15,18,18,18
Interceptions,4,4,7,3
Deflections,,1,6,4
Match Play Errors,1,1,,1
Contact Penalties,13,10,9,9
Obstruction Penalties,7,6,7,6
Time in Possession,7:10,7:59,7:55,7:29
Goals,13,15,11,11
Interceptions,2,2,6,5
Deflections,1,1,2,1
Match Play Errors,3,3,2,4
Contact Penalties,12,6,8,8
Obstruction Penalties,2,4,6,4
Time in Possession,7:48,6:57,7:00,7:29
Goals,13,20,14,15
Interceptions,7,10,4,8
Deflections,9,5,2,2
Match Play Errors,4,2,1,3
Contact Penalties,4,9,10,10
Obstruction Penalties,3,,6,4
Time in Possession,8:33,9:33,8:25,8:36
Goals,6,7,9,6
Interceptions,11,6,6,7
Deflections,2,4,3,5
Match Play Errors,5,4,5,5
Contact Penalties,17,9,12,12
Obstruction Penalties,,2,2,4
Time in Possession,6:20,5:22,6:31,6:20
Goals,20,22,22,15
Interceptions,10,13,9,5
Deflections,8,7,6,8
Match Play Errors,2,1,2,3
Contact Penalties,7,9,7,17
Obstruction Penalties,5,7,4,4
Time in Possession,8:34,9:34,8:23,6:35
Goals,11,7,7,8
Interceptions,8,7,8,9
Deflections,5,2,3,2
Match Play Errors,5,3,4,2
Contact Penalties,12,11,8,8
Obstruction Penalties,9,7,10,6
Time in Possession,6:12,5:25,6:33,8:21
Goals,25,15,21,17
Interceptions,11,6,8,5
Deflections,6,4,7,9
Match Play Errors,1,3,2,4
Contact Penalties,6,8,6,7
Obstruction Penalties,1,5,1,3
Time in Possession,10:06,7:55,9:16,6:51
Goals,6,12,5,11
Interceptions,4,4,8,11
Deflections,2,2,,4
Match Play Errors,4,3,5,1
Contact Penalties,12,16,8,6
Obstruction Penalties,8,4,3,
Time in Possession,4:49,6:59,5:41,8:05
Goals,13,12,15,16
Interceptions,7,7,5,6
Deflections,5,5,2,3
Match Play Errors,2,3,1,1
Contact Penalties,14,12,12,9
Obstruction Penalties,6,3,1,3
Time in Possession,7:08,6:49,7:26,8:40
Goals,7,8,9,11
Interceptions,5,9,5,3
Deflections,2,4,4,1
Match Play Errors,2,4,2,2
Contact Penalties,15,13,14,17
Obstruction Penalties,7,7,5,5
Time in Possession,7:47,8:06,7:31,6:18
Goals,22,21,16,21
Interceptions,7,8,7,6
Deflections,3,8,7,2
Match Play Errors,1,2,1,
Contact Penalties,7,1,7,6
Obstruction Penalties,2,3,2,8
Time in Possession,9:50,9:12,7:26,8:42
Goals,5,6,7,6
Interceptions,3,5,4,4
Deflections,1,2,1,1
Match Play Errors,4,5,3,8
Contact Penalties,11,8,9,12
Obstruction Penalties,7,9,2,2
Time in Possession,4:57,5:45,7:31,6:14
Goals,12,19,22,16
Interceptions,3,5,5,3
Deflections,3,8,2,3
Match Play Errors,5,1,1,3
Contact Penalties,13,11,12,13
Obstruction Penalties,7,4,6,5
Time in Possession,6:35,7:06,8:21,6:35
Goals,12,9,11,19
Interceptions,7,6,2,7
Deflections,1,,,2
Match Play Errors,2,3,3,
Contact Penalties,11,3,5,9
Obstruction Penalties,1,4,2,2
Time in Possession,8:23,7:51,6:36,8:08
Goals,11,17,17,18
Interceptions,7,6,6,9
Deflections,6,5,1,5
Match Play Errors,1,2,1,
Contact Penalties,5,4,12,10
Obstruction Penalties,6,6,7,2
Time in Possession,9:17,9:20,7:45,7:36
Goals,5,6,8,7
Interceptions,7,4,3,2
Deflections,3,3,2,6
Match Play Errors,2,2,2,
Contact Penalties,17,14,10,13
Obstruction Penalties,7,10,1,9
Time in Possession,5:40,5:37,7:12,6:03
Goals,18,24,12,18
Interceptions,11,9,7,8
Deflections,2,1,1,2
Match Play Errors,3,,1,3
Contact Penalties,11,13,18,9
Obstruction Penalties,1,3,2,3
Time in Possession,10:19,9:47,0:00,8:23
Goals,4,7,9,8
Interceptions,6,1,5,3
Deflections,2,2,8,1
Match Play Errors,8,6,1,4
Contact Penalties,12,12,10,12
Obstruction Penalties,5,8,5,4
Time in Possession,4:39,5:11,0:00,6:35
Goals,17,22,18,13
Interceptions,7,9,11,5
Deflections,3,2,4,4
Match Play Errors,2,2,2,2
Contact Penalties,9,11,8,10
Obstruction Penalties,3,4,3,4
Time in Possession,8:37,8:52,7:47,10:02
Goals,8,7,8,7
Interceptions,3,4,5,6
Deflections,4,2,6,5
Match Play Errors,4,2,4,4
Contact Penalties,10,9,10,18
Obstruction Penalties,5,3,5,2
Time in Possession,6:21,6:01,7:10,4:49
Goals,14,16,16,9
Interceptions,8,3,5,3
Deflections,4,3,1,1
Match Play Errors,3,2,1,3
Contact Penalties,13,8,11,9
Obstruction Penalties,2,3,5,9
Time in Possession,7:57,8:16,8:45,6:18
Goals,13,16,11,17
Interceptions,8,3,4,6
Deflections,6,1,3,4
Match Play Errors,4,3,2,2
Contact Penalties,8,14,9,10
Obstruction Penalties,6,5,6,5
Time in Possession,6:59,6:42,6:04,8:39
Goals,18,16,12,14
Interceptions,9,8,8,10
Deflections,6,3,4,4
Match Play Errors,1,3,1,
