matchNo,team,opponent,matchType,name,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,pickups,contactPenalties,obstructionPenalties,offsides,badHands,footwork,otherError
1,England,Trinidad and Tobago,Pool,ALLISON Imogen,,,C,C,18,,,,8,10,,1,1,,,,1,,,,,,
1,England,Trinidad and Tobago,Pool,CARDWELL Eleanor,,,GS,GS,30,30,30,100,2,2,,,,,,,,2,2,,,,
1,England,Trinidad and Tobago,Pool,CLARKE Jade,WD,WD,C,,37,,,,4,8,1,3,1,2,,,2,2,,,,,
1,England,Trinidad and Tobago,Pool,DRAKEFORD-LEWIS Sophie,,,WA,GA,30,3,4,75,12,16,13,,,1,,,4,3,1,,,1,1
1,England,Trinidad and Tobago,Pool,FRANCIS-BAYMAN Stacey,,WD,WD,GD,35,,,,,,4,3,2,2,,,3,4,2,,,,
1,England,Trinidad and Tobago,Pool,GUSCOTH Layla,GD,GD,GD,GD,45,,,,,,2,4,1,8,,,3,5,2,,,,
1,England,Trinidad and Tobago,Pool,HARTEN Joanne,GS,GS,GS,,30,25,30,83,2,3,,1,1,,1,,,1,,,,,
1,England,Trinidad and Tobago,Pool,HOUSBY Helen,GA,GA,GA,GA,45,16,24,67,8,10,16,1,1,2,2,,3,1,,,2,,
1,England,Trinidad and Tobago,Pool,MALCOLM Laura,C,C,C,WD,45,,,,12,24,1,4,1,3,,,4,2,1,1,2,,
1,England,Trinidad and Tobago,Pool,MENTOR Geva,GK,GK,GK,,30,,,,,,,5,2,1,,3,3,3,4,,,,
1,England,Trinidad and Tobago,Pool,METCALF Natalie,WA,WA,WA,WA,45,,,,19,32,10,,,,,,,3,2,,1,,
1,England,Trinidad and Tobago,Pool,USORO-BROWN Eboni,,,GK,GK,30,,,,,,,2,,4,,1,5,3,2,,,,
1,Trinidad and Tobago,England,Pool,BAPTISTE Aniecia,GD,GD,GD,GD,54,,,,,,17,2,2,6,,,,4,6,,1,1,
1,Trinidad and Tobago,England,Pool,BRUNO Tia,,,,,,,,,,,,,,,,,,,,,,,
1,Trinidad and Tobago,England,Pool,CASSIMY Janeisha,WD,C,WD,WD,60,,,,3,3,3,1,1,,,,4,4,,2,,,2
1,Trinidad and Tobago,England,Pool,COOPER Joelisa,GA,GA,GA,GA,55,10,13,77,8,12,1,,,,,,3,1,,,2,2,
1,Trinidad and Tobago,England,Pool,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
1,Trinidad and Tobago,England,Pool,DOUGLAS Oprah,C,C,C,C,47,,,,1,7,,,,,,,3,1,1,1,,1,
1,Trinidad and Tobago,England,Pool,GREENE Shaquanda,GK,GK,GK,GK,60,,,,,,,9,,4,,5,8,15,8,,,,2
1,Trinidad and Tobago,England,Pool,HAGLEY Faith,,WA,,,7,,,,,,1,,,,,,,,,1,1,,
1,Trinidad and Tobago,England,Pool,HOLLINGSWORTH Tahirah,,GA,GA,,9,,,,,,1,,,,,,,,,,,,
1,Trinidad and Tobago,England,Pool,MCEACHRANE Jeresia,,WD,WD,GD,19,,,,,,2,1,,1,,1,1,4,1,,2,,
1,Trinidad and Tobago,England,Pool,NOEL Afeisha,GS,GS,GS,GS,56,12,15,80,1,1,,,,,1,,,2,,,1,1,
