matchNo,team,opponent,matchType,quarter,goalsScored,intercepts,deflections,contactPenalties,obstructionPenalties,totalPenalties,totalErrors,timeInPossessionSecs
1,England,Trinidad and Tobago,Pool,Q1,15,8,4,9,6,15,2,496
1,England,Trinidad and Tobago,Pool,Q2,22,9,7,3,3,6,0,636
1,England,Trinidad and Tobago,Pool,Q3,20,14,8,10,3,13,2,527
1,England,Trinidad and Tobago,Pool,Q4,17,7,4,7,4,11,4,493
1,Trinidad and Tobago,England,Pool,Q1,6,8,3,7,8,15,5,400
1,Trinidad and Tobago,England,Pool,Q2,3,5,2,9,3,12,6,262
1,Trinidad and Tobago,England,Pool,Q3,4,6,4,6,5,11,8,348
1,Trinidad and Tobago,England,Pool,Q4,9,3,2,9,1,10,5,400
2,Australia,Barbados,Pool,Q1,25,15,3,5,5,10,2,566
2,Australia,Barbados,Pool,Q2,27,7,2,9,4,13,2,633
2,Australia,Barbados,Pool,Q3,21,12,6,8,2,10,3,535
2,Australia,Barbados,Pool,Q4,22,11,6,5,1,6,2,533
2,Barbados,Australia,Pool,Q1,4,4,3,7,3,10,5,332
2,Barbados,Australia,Pool,Q2,5,4,1,12,7,19,6,264
2,Barbados,Australia,Pool,Q3,5,8,2,14,0,14,7,363
2,Barbados,Australia,Pool,Q4,4,4,2,8,1,9,5,367
3,New Zealand,Northern Ireland,Pool,Q1,18,2,3,9,7,16,0,465
3,New Zealand,Northern Ireland,Pool,Q2,15,6,2,14,3,17,1,511
3,New Zealand,Northern Ireland,Pool,Q3,24,7,4,8,3,11,1,569
3,New Zealand,Northern Ireland,Pool,Q4,22,9,2,8,3,11,2,670
3,Northern Ireland,New Zealand,Pool,Q1,4,4,1,16,6,22,2,421
3,Northern Ireland,New Zealand,Pool,Q2,7,3,1,14,6,20,4,378
3,Northern Ireland,New Zealand,Pool,Q3,5,2,1,8,10,18,2,324
3,Northern Ireland,New Zealand,Pool,Q4,4,1,2,13,4,17,5,225
4,Jamaica,Wales,Pool,Q1,16,5,6,8,8,16,5,434
4,Jamaica,Wales,Pool,Q2,22,9,6,8,4,12,3,517
4,Jamaica,Wales,Pool,Q3,17,4,4,11,6,17,3,511
4,Jamaica,Wales,Pool,Q4,17,6,4,9,3,12,5,483
